,Ticker,Date,divp,ROA,ROE,DE,AE
185,MNST,2017-12-31,0.0,18.3505,22.718000000000004,-30.847,1.23
186,MNST,2016-12-31,0.0,14.6571,17.5126,-17.9636,1.2474
187,EA,2019-03-31,0.0,11.6185,20.5319,-83.4928,1.6802
188,EA,2018-03-31,0.0,12.796,24.1017,-94.4287,1.8681
189,EA,2017-03-31,0.0,13.0959,25.9319,-87.2414,1.901
190,NXPI,2018-12-31,0.073773,9.6887,18.3755,42.7035,2.014
191,NXPI,2017-12-31,0.0,9.0506,18.1097,22.0035,1.7534
192,NXPI,2016-12-31,0.0,0.7805,1.7816999999999998,65.3729,2.2318
193,XEL,2018-12-31,0.618557,2.8332,10.6517,139.9116,3.7626
194,XEL,2017-12-31,0.6411150000000001,2.7273,10.2153,137.1279,3.7564
195,XEL,2016-12-31,0.617988,2.8083,10.3876,133.8989,3.7342
196,SIRI,2018-12-31,0.171128,14.2514,0.0,0.0,-4.4981
197,SIRI,2017-12-31,0.29346700000000003,7.9337,0.0,0.0,-5.4659
198,SIRI,2016-12-31,0.0,9.295,0.0,0.0,-10.1054
199,TEAM,2019-06-30,,-23.6196,-86.587,-152.0709,5.2651
200,TEAM,2018-06-30,,-6.441,-13.25,-100.7182,2.6692
201,TEAM,2017-06-30,,-3.7369,-5.229,-61.5089,1.436
202,TEAM,2016-06-30,0.0,0.6301,0.9489,-101.5651,1.3544
203,MELI,2018-12-31,,-1.8701,-11.0449,-49.5088,6.6514
204,MELI,2017-12-31,1.922787,0.9064,3.6521,-70.3784,5.136
205,MELI,2016-12-31,0.194293,11.5026,35.4976,-40.5588,3.1886
206,PCAR,2018-12-31,0.491458,8.9738,26.378,-50.0367,2.9655
207,PCAR,2017-12-31,0.460303,7.6009,22.5949,-44.9898,2.9116
208,PCAR,2016-12-31,1.0502200000000002,2.4992,7.6061,-43.1215,3.0452
209,CTRP,2018-12-31,0.0,0.639,1.2964,2.112,2.0943
210,CTRP,2017-12-31,0.0,1.4055,2.7562,-0.9663,1.8731
211,CTRP,2016-12-31,,-1.0869,-2.4649,11.9046,1.9122
212,GOLD,2018-12-31,,-6.4457,-18.3068,44.3793,2.4114
213,GOLD,2017-12-31,0.097302,5.6869,16.7005,37.8513,2.2868
214,GOLD,2016-12-31,0.131298,2.5401,8.668,53.738,2.4497
215,ALGN,2018-12-31,0.0,20.8648,33.2534,-59.4203,1.6382
216,ALGN,2017-12-31,0.0,14.5539,21.5305,-65.9705,1.5455
217,ALGN,2016-12-31,0.0,14.8492,20.5805,-70.3282,1.4026
218,WLTW,2018-12-31,0.45036,2.1436,6.9577,35.4306,3.2395
219,WLTW,2017-12-31,0.466549,1.8115,5.6263,34.1053,3.1583
220,WLTW,2016-12-31,0.678571,1.7111,6.8326,29.2652,2.9561
221,MCHP,2019-03-31,0.9676879999999999,2.6752,8.3083,186.782,3.4704
222,MCHP,2018-03-31,1.3214569999999999,3.2037,7.7979,26.5778,2.5176
223,MCHP,2017-03-31,1.8487689999999999,2.4893,6.072,50.3776,2.3502
224,VRSN,2018-12-31,0.0,23.992,0.0,0.0,-1.3818
225,VRSN,2017-12-31,0.0,17.3339,0.0,0.0,-2.3338
226,VRSN,2016-12-31,0.0,18.7816,0.0,0.0,-1.9445
227,VRSK,2018-12-31,0.0,10.0448,29.965,124.7851,2.8496
228,VRSK,2017-12-31,0.0,10.4229,34.0782,148.6808,3.1268
229,VRSK,2016-12-31,0.0,11.5639,43.7213,168.7556,3.4758
230,LULU,2019-02-03,0.0,23.6972,31.7983,-60.9499,1.4417
231,LULU,2018-01-28,0.0,14.1499,17.4953,-62.0242,1.2514
232,LULU,2017-01-29,0.0,20.4186,25.4146,-54.0339,1.2188
233,UAL,2018-12-31,0.0,4.6602,22.6779,157.7076,4.8819
234,UAL,2017-12-31,0.0,5.1985,24.6536,121.2961,4.8484
235,UAL,2016-12-31,0.0,5.5876,25.6794,81.7762,4.6356
236,INFO,2018-11-30,0.0,3.5425,6.7682,69.2602,2.0012
237,INFO,2017-11-30,0.0,2.9265,5.1825,50.5951,1.814
238,INFO,2016-11-30,0.0,1.7458,3.0077,39.8546,1.7117
239,CTAS,2019-05-31,0.24638,12.2958,29.405,91.6877,2.4766
240,CTAS,2018-05-31,0.22364,12.2094,31.2368,79.4485,2.3067
241,CTAS,2017-05-31,0.310836,8.7858,22.798000000000002,127.7596,2.9721
242,FITB,2018-12-31,0.238186,1.5221,14.084,76.4185,8.9889
243,FITB,2017-12-31,0.209414,1.5338,14.0178,85.2219,8.7596
244,FITB,2016-12-31,0.27476300000000003,1.1044,10.0463,79.5281,8.7591
245,CHKP,2018-12-31,0.0,14.5478,22.2802,-107.0707,1.545
246,CHKP,2017-12-31,0.0,15.0352,22.6455,-106.8865,1.5174
247,CHKP,2016-12-31,0.0,14.0918,20.6421,-105.0958,1.4945
