,Ticker,Date,CR,QR,IntT,Wcap,DSO
113,VRTX,2016-12-31,1.8101,2.0629,3.1223,216.517,43.082
114,MU,2018-08-30,1.1821,2.0608,3.7213,6959.0,60.5569
115,MU,2017-08-31,1.0176,1.6719,3.9541,5280.0,62.5116
116,MU,2016-09-01,0.9096,1.2747,3.7843,3468.0,51.8155
117,TSLA,2018-12-31,0.3689,0.4638,6.4792,658.0169999999998,16.1404
118,TSLA,2017-12-31,0.4388,0.506,4.4037,388.668,15.9978
119,TSLA,2016-12-31,0.5823,0.6679999999999999,3.2289,706.255,26.0975
120,BIIB,2018-12-31,1.0737,1.6680000000000001,1.9822,2517.9,53.1374
121,BIIB,2017-12-31,1.0952,1.6258,1.7119,2294.2,53.1416
122,BIIB,2016-12-31,1.4314,1.8529,1.5606,2163.4,46.0857
123,MAR,2018-12-31,0.0491,0.3805,0.0,1366.0,37.5058
124,MAR,2017-12-31,0.066,0.4057,0.0,1190.0,35.2115
125,MAR,2016-12-31,0.1667,0.496,0.0,1008.0,36.3384
126,JD,2018-12-31,0.3003,0.3922,9.2398,-24844.946,8.777000000000001
127,JD,2017-12-31,0.2899,0.4282,8.8236,-16278.182,16.4796
128,JD,2016-12-31,0.2111,0.3652,9.0168,-985.452,22.872
129,WDAY,2019-01-31,0.7317,1.0216,0.0,675.587,91.1381
130,WDAY,2018-01-31,1.5872000000000002,1.8438,0.0,507.21,89.9633
131,WDAY,2017-01-31,1.5536,1.8724,0.0,382.956,95.2589
132,CTSH,2018-12-31,1.6244,2.7973,0.0,3042.0,73.7243
133,CTSH,2017-12-31,1.7809,2.7901,0.0,2655.0,70.6094
134,CTSH,2016-12-31,2.1377,3.1948,0.0,2381.0,69.3628
135,ADI,2018-11-03,0.5807,1.0357,3.4594,965.558,38.274
136,ADI,2017-10-28,0.6564,1.088,4.4123,1003.14,49.1001
137,ADI,2016-10-29,5.1802,5.7903,3.0277,682.725,50.8123
138,REGN,2018-12-31,1.9475,3.5023,0.4625,3176.2,122.0075
139,REGN,2017-12-31,1.2413,2.98,0.7057,2522.2,122.7171
140,REGN,2016-12-31,0.8366,2.1348,0.9396,1875.992,121.3589
141,AMAT,2018-10-28,1.0275,1.6198,2.8375,5048.0,49.0101
