,Ticker,Date,C02,Femp,Fex,Fbrd,Fmg,Gpay,Bch
40,NVDA,2018-01-28,30.8497,18.6,40.0,18.182,8.49,0.0,1.0
41,NVDA,2017-01-29,46.5777,18.4,40.0,16.667,12.0,0.0,0.0
42,COST,2018-09-02,,,0.0,20.0,,,2.0
43,COST,2017-09-03,83.2232,,0.0,16.667,,1.0,3.0
44,COST,2016-08-28,86.0209,,0.0,15.385,,0.0,3.0
45,TXN,2018-12-31,,,30.769,33.333,,,3.0
46,TXN,2017-12-31,504.9927,37.38,30.769,30.769,,0.0,3.0
47,TXN,2016-12-31,486.7276,37.53,20.0,41.667,,0.0,3.0
48,SNY,2018-12-31,46.3942,46.2,20.0,43.75,35.4,1.0,2.0
49,SNY,2017-12-31,44.7927,46.2,13.333,43.75,38.5,0.0,4.0
50,SNY,2016-12-31,48.1739,46.0,7.692,41.667,41.0,0.0,6.0
51,SBUX,2018-09-30,,,37.5,40.0,,,5.0
52,SBUX,2017-10-01,,,14.286,28.571,,0.0,5.0
53,SBUX,2016-10-02,,,16.667,25.0,,0.0,3.0
54,ASML,2018-12-31,8.559,15.0,0.0,37.5,9.46,1.0,2.0
55,ASML,2017-12-31,13.1356,14.15,0.0,37.5,9.01,1.0,0.0
56,ASML,2016-12-31,13.897,13.165,0.0,37.5,8.23,1.0,2.0
57,GILD,2018-12-31,,,33.333,30.0,,,3.0
58,GILD,2017-12-31,,51.0,20.0,22.222,,0.0,0.0
59,GILD,2016-12-31,22.0744,52.0,14.286,20.0,,0.0,1.0
60,BKNG,2018-12-31,,,25.0,23.077,,,15.0
61,BKNG,2017-12-31,,,20.0,16.667,,0.0,1.0
62,BKNG,2016-12-31,,,20.0,20.0,,0.0,2.0
63,CHTR,2018-12-31,,,10.526,7.143,,0.0,2.0
64,CHTR,2017-12-31,,,10.526,7.692,,0.0,0.0
65,CHTR,2016-12-31,,,12.5,7.692,,0.0,11.0
66,MDLZ,2018-12-31,,,10.0,23.077,,,3.0
67,MDLZ,2017-12-31,104.0332,,9.091,23.077,,1.0,1.0
68,MDLZ,2016-12-31,115.6193,,18.182,30.769,,0.0,3.0
69,ADP,2018-06-30,,13.333,16.667,0.0,,2.0,
70,ADP,2017-06-30,,14.286,20.0,0.0,,1.0,53.56
71,ADP,2016-06-30,,13.333,20.0,0.0,,5.0,
72,QCOM,2018-09-30,,,12.5,16.667,,,5.0
73,QCOM,2017-09-24,28.2324,18.8,9.091,18.182,17.1,0.0,2.0
74,QCOM,2016-09-25,38.1942,18.7,9.091,9.091,16.6,0.0,6.0
75,INTU,2018-07-31,,39.0,22.222,30.0,,0.0,2.0
76,INTU,2017-07-31,,39.0,12.5,30.0,32.0,0.0,1.0
77,INTU,2016-07-31,,39.0,12.5,33.333,32.0,0.0,5.0
78,CELG,2018-12-31,,,,,,,5.0
79,CELG,2017-12-31,17.021,52.8,14.286,27.273000000000003,,0.0,0.0
80,CELG,2016-12-31,19.4936,53.6,12.5,33.333,,0.0,0.0
81,ISRG,2018-12-31,,,33.333,20.0,,,1.0
82,ISRG,2017-12-31,,,14.286,22.222,,0.0,2.0
