,Ticker,Date,divp,ROA,ROE,Aturn
619,KHC,2016-07-03,0.908799,,,
620,ADSK,2019-04-30,,-0.5184,,0.6297
621,ADSK,2019-01-31,0.0,-1.8275,,0.5812
622,ADSK,2018-10-31,,-8.0491,,0.6021
623,ADSK,2018-07-31,,-10.1405,,0.5474
624,ADSK,2018-04-30,,-12.4586,,0.5108
625,ADSK,2018-01-31,,-12.7226,,0.4616
626,ADSK,2017-10-31,,-12.6219,-97.0631,0.4413
627,ADSK,2017-07-31,,-12.5471,-71.6124,0.4161
628,ADSK,2017-04-30,,-11.2898,-55.9671,0.4161
629,ADSK,2017-01-31,,-11.2882,-49.4731,0.3939
630,ADSK,2016-10-31,,-8.7848,-31.5997,0.4379
631,ADSK,2016-07-31,,-6.5915,-21.1763,0.4448
632,ROST,2019-05-04,0.219847,21.1062,49.7153,2.0161
633,ROST,2019-02-02,0.21084,26.9158,49.9589,2.5405
634,ROST,2018-11-03,0.24496,26.6024,52.8149,2.4901
635,ROST,2018-08-04,0.214384,26.7088,50.8873,2.5654
636,ROST,2018-05-05,0.201085,25.2291,49.4238,2.4913
637,ROST,2018-02-03,0.13354000000000002,24.7068,47.0132,2.5626
638,ROST,2017-10-28,0.22120399999999998,21.815,44.0292,2.4426
639,ROST,2017-07-29,0.193599,22.088,43.3672,2.4905
640,ROST,2017-04-29,0.192604,21.5247,43.1822,2.4532
641,ROST,2017-01-28,0.17438599999999999,21.9611,42.8219,2.5282
642,ROST,2016-10-29,0.215777,21.09,42.87600000000001,2.4591
643,ROST,2016-07-30,0.188473,21.0082,42.0872,2.4561
644,NTES,2019-06-30,0.30804200000000004,10.4013,18.5009,0.8778
645,NTES,2019-03-31,0.255434,9.4212,16.8717,0.8636
646,NTES,2018-12-31,0.24875100000000003,7.7879,13.5272,0.8501
647,NTES,2018-09-30,0.24138,7.8372,12.9884,0.8454
648,NTES,2018-06-30,0.251208,9.4898,15.3104,0.8185
649,NTES,2018-03-31,0.251888,11.0328,17.506,0.7997
650,NTES,2017-12-31,0.252379,16.5933,25.5185,0.8384
651,NTES,2017-09-30,0.24972399999999997,22.5654,32.7558,0.8884
652,NTES,2017-06-30,0.32460500000000003,24.0033,34.9274,0.871
653,NTES,2017-03-31,0.233693,24.6321,35.9741,0.8277
654,NTES,2016-12-31,0.24743,23.3987,34.4189,0.7698
655,NTES,2016-09-30,0.256939,23.2228,32.5155,0.7825
656,NTES,2016-06-30,0.250942,22.8504,31.5687,0.7786
657,ATVI,2019-06-30,0.864085,9.5055,15.0965,0.4013
658,ATVI,2019-03-31,0.632394,9.6795,16.4277,0.405
659,ATVI,2018-12-31,0.0,9.928,17.4072,0.4109
660,ATVI,2018-09-30,0.0,3.3574,5.6046,0.416
661,ATVI,2018-06-30,0.0,2.9109,5.0446,0.4181
662,ATVI,2018-03-31,0.5161199999999999,1.965,3.6043,0.411
663,ATVI,2017-12-31,,1.5116,2.9385,0.3886
664,ATVI,2017-09-30,0.0,6.1555,11.8286,0.3872
665,ATVI,2017-06-30,0.0,6.7155000000000005,12.2941,0.4153
666,ATVI,2017-03-31,0.527465,6.0193,11.5947,0.402
667,ATVI,2016-12-31,0.0,5.9147,11.2294,0.4041
668,ATVI,2016-09-30,0.0,5.3363,10.3528,0.3639
669,ATVI,2016-06-30,0.0,5.225,9.7218,0.3506
670,FISV,2019-06-30,0.0,6.4371,35.619,0.4004
671,FISV,2019-03-31,0.0,9.0555,36.8686,0.5388
672,FISV,2018-12-31,0.0,11.0157,47.2532,0.5404
673,FISV,2018-09-30,0.0,13.8158,57.7529,0.5526
674,FISV,2018-06-30,0.0,14.5908,55.4093,0.5804
675,FISV,2018-03-31,0.0,14.3181,52.7155,0.5782
676,FISV,2017-12-31,0.0,12.4401,47.2686,0.5687
677,FISV,2017-09-30,0.0,9.2257,37.2027,0.5657
678,FISV,2017-06-30,0.0,9.3365,35.6447,0.5819
679,FISV,2017-03-31,0.0,9.2269,34.769,0.5786
680,FISV,2016-12-31,0.0,9.7469,35.7624,0.5770000000000001
681,FISV,2016-09-30,0.0,9.5038,33.2475,0.5721
682,FISV,2016-06-30,0.0,9.4989,31.3915,0.5623
683,XLNX,2019-06-29,0.3880960000000001,18.7801,38.1719,0.6434
684,XLNX,2019-03-30,0.37356,17.4258,34.0779,0.5991
685,XLNX,2018-12-29,0.380605,15.0955,31.6117,0.5478
686,XLNX,2018-09-29,0.42221,10.5859,21.8511,0.5241
687,XLNX,2018-06-30,0.47867,9.7961,20.4564,0.5026
688,XLNX,2018-03-31,0.612463,9.468,19.057,0.5034
689,XLNX,2017-12-30,,9.4805,19.4844,0.4898
690,XLNX,2017-09-30,0.499755,12.5547,24.4702,0.4862
691,XLNX,2017-07-01,0.55181,12.3175,24.0528,0.4748
692,XLNX,2017-04-01,0.535601,13.0235,24.4173,0.4915
693,XLNX,2016-12-31,0.583901,12.6175,24.229,0.4748
694,XLNX,2016-10-01,0.5094270000000001,12.2629,22.9568,0.4659
695,XLNX,2016-07-02,0.511854,11.5058,21.7089,0.4552
696,EBAY,2019-06-30,0.298759,10.634,42.6769,0.4808
697,EBAY,2019-03-31,0.24184299999999997,11.2661,41.2688,0.4611
698,EBAY,2018-12-31,0.0,10.3678,35.3105,0.4404
699,EBAY,2018-09-30,0.0,-3.3511,-9.1259,0.4265
700,EBAY,2018-06-30,0.0,-4.01,-11.0849,0.4051
701,EBAY,2018-03-31,0.0,-6.6649,-17.1435,0.4134
702,EBAY,2017-12-31,,-4.0816,-10.9425,0.3984
703,EBAY,2017-09-30,0.0,32.3824,83.0847,0.414
704,EBAY,2017-06-30,0.0,31.2284,82.7021,0.3932
705,EBAY,2017-03-31,0.0,35.208,87.3046,0.4118
706,EBAY,2016-12-31,0.0,34.931,84.90799999999999,0.4317
707,EBAY,2016-09-30,0.0,9.3048,27.1505,0.4586
708,EBAY,2016-06-30,0.0,5.8887,14.7231,0.2677
709,ERIC,2019-06-30,0.0,0.0784,0.2416,0.8111
710,ERIC,2019-03-31,0.0,-1.2397,-3.8078,0.7944
711,ERIC,2018-12-31,0.0,-2.4705,-7.1012,0.7977
712,ERIC,2018-09-30,0.0,-6.9361,-17.561,0.7702
713,ERIC,2018-06-30,0.0,-9.1657,-22.9533,0.7423
714,ERIC,2018-03-31,0.0,-8.4447,-21.3383,0.727
715,ERIC,2017-12-31,0.0,-11.9758,-28.1413,0.755
716,ERIC,2017-09-30,0.0,-5.7846,-12.6538,0.7835
717,ERIC,2017-06-30,0.0,-4.4815,-9.5645,0.7763
718,ERIC,2017-03-31,0.0,-3.6043,-7.6203,0.7622
719,ERIC,2016-12-31,0.0,0.6037,1.2209,0.7831
720,ERIC,2016-09-30,0.0,3.7452,7.6796,0.8336
721,ERIC,2016-06-30,0.0,4.9214,10.091,0.8594
722,ALXN,2019-06-30,0.0,9.506,14.0891,0.3207
723,ALXN,2019-03-31,0.0,2.9925,4.4252,0.3119
724,ALXN,2018-12-31,,0.5641,0.8594,0.3003
725,ALXN,2018-09-30,0.0,1.1104,1.6848999999999998,0.2847
726,ALXN,2018-06-30,,-0.7435,-1.137,0.2776
727,ALXN,2018-03-31,0.0,3.8313,5.8134,0.265
728,ALXN,2017-12-31,0.0,3.3037,5.0413,0.2646
729,ALXN,2017-09-30,0.0,3.7577,5.8012,0.2578
730,ALXN,2017-06-30,0.0,3.9377,6.1156,0.2573
731,ALXN,2017-03-31,0.0,3.6353,5.6377,0.2479
732,ALXN,2016-12-31,0.0,3.0269,4.7048,0.2341
733,ALXN,2016-09-30,0.0,2.8208,4.4519,0.2234
734,ALXN,2016-06-30,0.0,0.7271,1.1371,0.2154
735,PAYX,2019-05-31,0.9671350000000001,12.4691,41.5731,0.4548
736,PAYX,2019-02-28,0.619692,11.8762,44.0056,0.4229
737,PAYX,2018-11-30,0.8528239999999999,14.4931,48.4499,0.4771
738,PAYX,2018-08-31,0.8255170000000001,14.0059,47.4416,0.47
739,PAYX,2018-05-31,0.923473,13.4801,46.1075,0.458
740,PAYX,2018-02-28,0.489107,13.7313,49.2973,0.4707
741,PAYX,2017-11-30,0.903169,11.9905,42.6476,0.474
742,PAYX,2017-08-31,0.8528990000000001,11.8151,41.2167,0.4606
743,PAYX,2017-05-31,0.8462780000000001,12.3138,42.2705,0.4748
744,PAYX,2017-02-28,0.8155060000000001,11.1297,42.4366,0.4321
745,PAYX,2016-11-30,0.819852,13.1944,42.3528,0.5195
746,PAYX,2016-08-31,0.763845,12.6673,40.4933,0.4991
747,AMD,2019-06-29,0.0,4.1499,13.741,1.2765
748,AMD,2019-03-30,0.0,6.2572,21.7339,1.4033
749,AMD,2018-12-29,0.0,8.3128,36.1976,1.5972
750,AMD,2018-09-29,0.0,7.0591,34.0426,1.6125
751,AMD,2018-06-30,0.0,6.3964,36.8827,1.6933
752,AMD,2018-03-31,0.0,2.294,14.4128,1.6205
753,AMD,2017-12-31,,,,
754,AMD,2017-12-30,,-0.9603,-6.5217,1.5286
755,AMD,2017-09-30,0.0,-1.8328,-14.5856,1.4068
756,AMD,2017-07-01,,-15.9438,,1.4325
757,AMD,2017-04-01,,-13.4395,,1.4857
758,AMD,2016-12-31,,-15.5504,,1.3486
759,AMD,2016-09-24,,-16.0117,,1.205
760,AMD,2016-06-25,0.0,-10.1239,,1.1581
761,LRCX,2019-06-30,0.300732,17.9032,39.2177,0.7887
762,LRCX,2019-03-31,0.303844,20.112,44.1656,0.7846
763,LRCX,2018-12-23,0.299767,24.5107,48.6634,0.9182
764,LRCX,2018-09-23,0.321029,19.8949,36.8961,0.9359
765,LRCX,2018-06-24,0.173342,19.3534,35.7478,0.9005
766,LRCX,2018-03-25,0.104249,14.7694,27.8385,0.8063
767,LRCX,2017-12-24,,13.767,26.8266,0.7824
768,LRCX,2017-09-24,0.12358399999999999,16.1743,30.0923,0.7078
769,LRCX,2017-06-25,0.138664,13.9235,26.7113,0.6572
770,LRCX,2017-03-26,0.127948,13.0622,22.9974,0.6589
771,LRCX,2016-12-25,0.219948,9.393,16.7228,0.5994
772,LRCX,2016-09-25,0.18193199999999998,7.9998,15.4068,0.5324
773,LRCX,2016-06-26,0.185212,8.4521,16.6226,0.5443
774,MNST,2019-06-30,0.0,22.0393,27.6871,0.8291
775,MNST,2019-03-31,0.0,22.1039,27.4196,0.8306
776,MNST,2018-12-31,0.0,21.3139,26.4585,0.8172
777,MNST,2018-09-30,0.0,19.9414,24.9358,0.7709999999999999
778,MNST,2018-06-30,0.0,19.6447,24.5552,0.7775
779,MNST,2018-03-31,0.0,18.8946,23.1911,0.7652
780,MNST,2017-12-31,0.0,18.3505,22.718000000000004,0.7533
781,MNST,2017-09-30,0.0,17.7143,22.1111,0.7406
782,MNST,2017-06-30,0.0,17.5461,21.962,0.7317
783,MNST,2017-03-31,0.0,14.2045,17.0566,0.6081
784,MNST,2016-12-31,0.0,14.6571,17.5126,0.6271
785,MNST,2016-09-30,0.0,13.79,16.8505,0.5978
786,MNST,2016-06-30,0.0,13.4575,16.4382,0.5920000000000001
787,EA,2019-06-30,0.0,23.8609,36.5602,0.5581
788,EA,2019-03-31,0.0,11.6185,20.5319,0.5644
789,EA,2018-12-31,0.0,16.1952,30.053,0.6051
790,EA,2018-09-30,0.0,11.8373,19.9691,0.631
791,EA,2018-06-30,0.0,8.8593,14.2007,0.6194
792,EA,2018-03-31,0.0,12.796,24.1017,0.6318
793,EA,2017-12-31,,12.2486,26.2475,0.6228
794,EA,2017-09-30,,16.0254,29.6898,0.6864
795,EA,2017-06-30,0.0,16.7525,28.554,0.7186
796,EA,2017-03-31,0.0,13.0959,25.9319,0.6561
797,EA,2016-12-31,,18.3241,39.5859,0.6521
798,EA,2016-09-30,,19.485,37.1928,0.7054
