,Ticker,Date,CR,QR,IntT,Wcap
204,TXN,2016-12-31,1.5415,2.1011,2.9377,2661.0
205,TXN,2016-09-30,1.4456,2.1124,2.8829,2827.0
206,TXN,2016-06-30,1.2752,1.9523,2.7652,2808.0
207,SNY,2019-06-30,0.35100000000000003,0.7274,1.4639,10570.0
208,SNY,2019-03-31,,,,
209,SNY,2018-12-31,0.41,0.8278,1.5999,9696.0
210,SNY,2018-09-30,,,,
211,SNY,2018-06-30,0.3769,0.7091,1.534,9384.0
212,SNY,2018-03-31,,,,
213,SNY,2017-12-31,0.6721,1.1387,1.6939,9401.0
214,SNY,2017-09-30,,,,
215,SNY,2017-06-30,0.6374,1.0392,1.5934,9800.0
216,SNY,2017-03-31,,,,
217,SNY,2016-12-31,0.5845,0.9992,1.5964,9906.0
218,SNY,2016-09-30,,,,
219,SNY,2016-06-30,0.3826,0.8321,1.4944,10429.0
220,SBUX,2019-06-30,0.8201,0.9542,12.7924,1162.4
221,SBUX,2019-03-31,0.4042,0.5377,12.864,1049.9
222,SBUX,2018-12-30,0.9197,1.0526,13.4059,975.5
223,SBUX,2018-09-30,1.5724,1.6943,12.5658,914.3
224,SBUX,2018-07-01,0.35600000000000004,0.51,12.3254,1321.1
225,SBUX,2018-04-01,0.4323,0.6,12.16,1375.8
226,SBUX,2017-12-31,0.5508,0.6753,12.5093,1312.9
227,SBUX,2017-10-01,0.6375,0.8438,11.3259,1451.9
228,SBUX,2017-07-02,0.7466,0.9431,11.4489,1446.2
229,SBUX,2017-04-02,0.5987,0.7965,11.515999999999998,1427.7
230,SBUX,2017-01-01,0.4947,0.6914,12.0392,1421.3
231,SBUX,2016-10-02,0.4977,0.6668,10.8572,1416.7
232,SBUX,2016-06-26,0.5456,0.7217,11.3364,1396.7
233,ASML,2019-06-30,0.6323,1.2437,1.6696,4876.9
234,ASML,2019-03-31,0.8801,1.4509,1.7279,5888.7
235,ASML,2018-12-31,1.064,1.6202,1.8498,4584.8
236,ASML,2018-09-30,0.8312,1.5645,1.7401,6002.9
237,ASML,2018-07-01,0.8814,1.3957,1.7396,4956.1
238,ASML,2018-04-01,1.0198,1.6047,1.6472,5063.6
239,ASML,2017-12-31,1.0373,1.605,1.7349,3917.7
240,ASML,2017-10-01,0.9003,1.5063,1.6006,4800.9
241,ASML,2017-07-02,0.8045,1.3288,1.415,4775.1
242,ASML,2017-04-02,1.3339,1.7553,1.3867,4207.4
243,ASML,2016-12-31,1.2366,1.5864,1.3931,3335.271
244,ASML,2016-10-02,1.3181,1.7832,1.3443,4218.8
245,ASML,2016-07-03,0.7866,1.1243,1.275,3971.7
246,GILD,2019-06-30,3.0335,3.4125,5.2932,3663.0
247,GILD,2019-03-31,2.9695,3.3188,5.3943,3604.0
248,GILD,2018-12-31,2.8372,3.151,6.0099,3351.0
249,GILD,2018-09-30,2.814,3.1565,4.6316,3701.0
250,GILD,2018-06-30,2.3751,2.6996,3.9568,3777.0
251,GILD,2018-03-31,2.2491,2.6029,3.7431,3949.0
252,GILD,2017-12-31,2.1925,2.5235,3.6608,3838.0
253,GILD,2017-09-30,2.9579,3.3874,2.753,4570.0
254,GILD,2017-06-30,2.4842,3.0115,2.622,5067.0
255,GILD,2017-03-31,1.7043,2.1914,2.4001,4564.0
256,GILD,2016-12-31,1.2904,1.7801,2.406,4895.0
257,GILD,2016-09-30,1.1077,1.5661,2.1852,5923.0
258,GILD,2016-06-30,0.838,1.3887,2.1446,6492.0
259,BKNG,2019-06-30,1.0725,1.3832,0.0,682.0
260,BKNG,2019-03-31,0.7739,1.0412,0.0,557.0
261,BKNG,2018-12-31,1.7677,2.1961,0.0,389.0
262,BKNG,2018-09-30,1.8144,2.2518,0.0,544.46
263,BKNG,2018-06-30,1.404,1.7324000000000002,0.0,661.546
264,BKNG,2018-03-31,1.5431,1.8872,0.0,689.047
265,BKNG,2017-12-31,2.1161,2.4643,0.0,550.0
266,BKNG,2017-09-30,2.0013,2.398,0.0,632.0219999999998
267,BKNG,2017-06-30,1.6918,2.0194,0.0,632.4019999999998
268,BKNG,2017-03-31,1.6533,1.9409,0.0,526.679
269,BKNG,2016-12-31,1.5042,1.8051,0.0,441.007
270,BKNG,2016-09-30,1.5067,1.8869,0.0,610.479
271,BKNG,2016-06-30,1.9781,2.423,0.0,551.123
272,CHTR,2019-06-30,0.0705,0.2801,0.0,1280.0
273,CHTR,2019-03-31,0.1214,0.2535,0.0,917.0
274,CHTR,2018-12-31,0.0456,0.1888,0.0,975.0
275,CHTR,2018-09-30,0.0516,0.1981,0.0,1132.0
276,CHTR,2018-06-30,0.0551,0.1706,0.0,887.0
277,CHTR,2018-03-31,0.0496,0.1711,0.0,787.0
278,CHTR,2017-12-31,0.056,0.2034,0.0,895.0
279,CHTR,2017-09-30,0.2077,0.3663,0.0,1080.0
280,CHTR,2017-06-30,0.0854,0.2687,0.0,905.0
281,CHTR,2017-03-31,0.3067,0.4444,0.0,789.0
282,CHTR,2016-12-31,0.1604,0.31,0.0,978.0
283,CHTR,2016-09-30,0.1347,0.2784,0.0,764.0
284,CHTR,2016-06-30,0.063,0.2152,0.0,892.0
285,MDLZ,2019-06-30,0.0701,0.1925,5.7761,-402.0
286,MDLZ,2019-03-31,0.087,0.2439,5.9599,-165.0
287,MDLZ,2018-12-31,0.0657,0.2009,6.0539999999999985,-940.0
288,MDLZ,2018-09-30,0.0885,0.2647,5.5753,200.0
289,MDLZ,2018-06-30,0.084,0.2469,5.8528,-149.0
290,MDLZ,2018-03-31,0.0673,0.2526,6.0816,6.0
291,MDLZ,2017-12-31,0.0482,0.2186,6.312,-457.0
292,MDLZ,2017-09-30,0.0526,0.2385,5.6613,623.0
293,MDLZ,2017-06-30,0.0898,0.2437,5.7743,93.0
294,MDLZ,2017-03-31,0.0868,0.2884,5.8858,741.0
295,MDLZ,2016-12-31,0.1208,0.3019,6.221,-238.0
296,MDLZ,2016-09-30,0.1208,0.3371,5.5618,911.0
297,MDLZ,2016-06-30,0.135,0.3502,5.7462,947.0
298,ADP,2019-06-30,0.0601,0.1348,0.0,2313.8
299,ADP,2019-03-31,0.0468,0.1103,0.0,2328.9
300,ADP,2018-12-31,0.0921,0.1791,0.0,2486.8
301,ADP,2018-09-30,0.0513,0.1277,0.0,2084.6
302,ADP,2018-06-30,0.0715,0.1367,0.0,1848.8
303,ADP,2018-03-31,0.0624,0.118,0.0,1937.7
304,ADP,2017-12-31,0.0476,0.1025,0.0,1908.7
305,ADP,2017-09-30,0.0836,0.1468,0.0,1676.1
306,ADP,2017-06-30,0.0933,0.1504,0.0,1553.9
307,ADP,2017-03-31,0.0823,0.132,0.0,1685.0
308,ADP,2016-12-31,0.0821,0.1379,0.0,1702.1
309,ADP,2016-09-30,0.1055,0.1661,0.0,1502.8
310,ADP,2016-06-30,0.0897,0.1383,0.0,1590.5
311,QCOM,2019-06-30,1.3230000000000002,1.4184,5.2436,1223.0
312,QCOM,2019-03-31,0.9822,1.3281,5.5128,3696.0
313,QCOM,2018-12-30,0.9772,1.1979,5.4723,2606.0
314,QCOM,2018-09-30,1.0614,1.3114,5.4952,2716.0
315,QCOM,2018-06-24,2.215,2.4101,5.3055,3304.0
316,QCOM,2018-03-25,3.1257,3.4049,5.1996,3878.0
317,QCOM,2017-12-24,2.9436,3.1975,5.2946,3240.0
318,QCOM,2017-09-24,3.4206,3.7484,5.4536,3640.0
319,QCOM,2017-06-25,2.2769,2.6588000000000003,5.7952,3994.0
320,QCOM,2017-03-26,0.9839,1.3957,5.5677,4954.0
321,QCOM,2016-12-25,1.3525,1.6133,6.1785,2347.0
